Country,Population,Density,Land Area,Urban Population
India,1450935791,488.0,2973190,17.78
China,1419321278,151.0,9388211,17.39
United States,345426571,38.0,9147420,4.23
Indonesia,283487931,156.0,1811570,3.47
Pakistan,251269164,326.0,770880,3.08
Nigeria,232679478,255.0,910770,2.85
Brazil,211998573,25.0,8358140,2.6
Bangladesh,173562364,1333.0,130170,2.13
Russia,144820423,9.0,16376870,1.77
Ethiopia,132059767,132.0,1000000,1.62
Mexico,130861007,67.0,1943950,1.6
Japan,123753041,339.0,364555,1.52
Egypt,116538258,117.0,995450,1.43
Philippines,115843670,389.0,298170,1.42
DR Congo,109276265,48.0,2267050,1.34
Vietnam,100987686,326.0,310070,1.24
Iran,91567738,56.0,1628550,1.12
Turkey,87473805,114.0,769630,1.07
Germany,84552242,243.0,348560,1.04
Thailand,71668011,140.0,510890,0.88
United Kingdom,69138192,286.0,241930,0.85
Tanzania,68560157,77.0,885800,0.84
France,66548530,122.0,547557,0.82
South Africa,64007187,53.0,1213090,0.78
Italy,59342867,202.0,294140,0.73
Kenya,56432944,99.0,569140,0.69
Myanmar,54500091,83.0,653290,0.67
Colombia,52886363,48.0,1109500,0.65
South Korea,51717590,532.0,97230,0.63
Sudan,50448963,29.0,1765048,0.62
Uganda,50015092,250.0,199810,0.61
Spain,47910526,96.0,498800,0.59
Algeria,46814308,20.0,2381740,0.57
Iraq,46042015,106.0,434320,0.56
Argentina,45696159,17.0,2736690,0.56
Afghanistan,42647492,65.0,652860,0.52
Yemen,40583164,77.0,527970,0.5
Canada,39742430,4.0,9093510,0.49
Poland,38539201,126.0,306230,0.47
Morocco,38081173,85.0,446300,0.47
Angola,37885849,30.0,1246700,0.46
Ukraine,37860221,65.0,579320,0.46
Uzbekistan,36361859,85.0,425400,0.45
Malaysia,35557673,108.0,328550,0.44
Mozambique,34631766,44.0,786380,0.42
Ghana,34427414,151.0,227540,0.42
Peru,34217848,27.0,1280000,0.42
Saudi Arabia,33962757,16.0,2149690,0.42
Madagascar,31964956,55.0,581795,0.39
Côte d'Ivoire,31934230,100.0,318000,0.39
Nepal,29651054,207.0,143350,0.36
Cameroon,29123744,62.0,472710,0.36
Venezuela,28405543,32.0,882050,0.35
Niger,27032412,21.0,1266700,0.33
Australia,26713205,3.0,7682300,0.33
North Korea,26498823,220.0,120410,0.32
Syria,24672760,134.0,183630,0.3
Mali,24478595,20.0,1220190,0.3
Burkina Faso,23548781,86.0,273600,0.29
Taiwan,23213962,656.0,35410,0.28
Sri Lanka,23103565,368.0,62710,0.28
Malawi,21655286,230.0,94280,0.27
Zambia,21314956,29.0,743390,0.26
Kazakhstan,20592571,8.0,2699700,0.25
Chad,20299123,16.0,1259200,0.25
Chile,19764771,27.0,743532,0.24
Romania,19015088,83.0,230170,0.23
Somalia,19009151,30.0,627340,0.23
Senegal,18501984,96.0,192530,0.23
Guatemala,18406359,172.0,107160,0.23
Netherlands,18228742,541.0,33720,0.22
Ecuador,18135478,73.0,248360,0.22
Cambodia,17638801,100.0,176520,0.22
Zimbabwe,16634373,43.0,386850,0.2
Guinea,14754785,60.0,245720,0.18
Benin,14462724,128.0,112760,0.18
Rwanda,14256567,578.0,24670,0.17
Burundi,14047786,547.0,25680,0.17
Bolivia,12413315,11.0,1083300,0.15
Tunisia,12277109,79.0,155360,0.15
South Sudan,11943408,20.0,610952,0.15
Haiti,11772557,427.0,27560,0.14
Belgium,11738763,388.0,30280,0.14
Jordan,11552876,130.0,88780,0.14
Dominican Republic,11427557,236.0,48320,0.14
United Arab Emirates,11027129,132.0,83600,0.14
Cuba,10979783,103.0,106440,0.13
Honduras,10825703,97.0,111890,0.13
Czech Republic (Czechia),10735859,139.0,77240,0.13
Sweden,10606999,26.0,410340,0.13
Tajikistan,10590927,76.0,139960,0.13
Papua New Guinea,10576502,23.0,452860,0.13
Portugal,10425292,114.0,91590,0.13
Azerbaijan,10336577,125.0,82658,0.13
Greece,10047817,78.0,128900,0.12
Hungary,9676135,107.0,90530,0.12
Togo,9515236,175.0,54390,0.12
Israel,9387021,434.0,21640,0.12
Austria,9120813,111.0,82409,0.11
Belarus,9056696,45.0,202910,0.11
Switzerland,8921981,226.0,39516,0.11
Sierra Leone,8642022,120.0,72180,0.11
Laos,7769819,34.0,230800,0.1
Turkmenistan,7494498,16.0,469930,0.09
Hong Kong,7414909,7062.0,1050,0.09
Libya,7381023,4.0,1759540,0.09
Kyrgyzstan,7186009,37.0,191800,0.09
Paraguay,6929153,17.0,397300,0.08
Nicaragua,6916140,57.0,120340,0.08
Bulgaria,6757689,62.0,108560,0.08
Serbia,6736216,77.0,87460,0.08
El Salvador,6338193,306.0,20720,0.08
Congo,6332961,19.0,341500,0.08
Denmark,5977412,141.0,42430,0.07
Singapore,5832387,8332.0,700,0.07
Lebanon,5805962,568.0,10230,0.07
Finland,5617310,18.0,303890,0.07
Liberia,5612817,58.0,96320,0.07
Norway,5576660,15.0,365268,0.07
Slovakia,5506760,115.0,48088,0.07
State of Palestine,5495443,913.0,6020,0.07
Central African Republic,5330690,9.0,622980,0.07
Oman,5281538,17.0,309500,0.06
Ireland,5255017,76.0,68890,0.06
New Zealand,5213944,20.0,263310,0.06
Mauritania,5169395,5.0,1030700,0.06
Costa Rica,5129910,100.0,51060,0.06
Kuwait,4934507,277.0,17820,0.06
Panama,4515577,61.0,74340,0.06
Croatia,3875325,69.0,55960,0.05
Georgia,3807670,55.0,69490,0.05
Eritrea,3535603,35.0,101000,0.04
Mongolia,3475540,2.0,1553560,0.04
Uruguay,3386588,19.0,175020,0.04
Puerto Rico,3242204,366.0,8870,0.04
Bosnia and Herzegovina,3164253,62.0,51000,0.04
Qatar,3048423,263.0,11610,0.04
Moldova,3034961,92.0,32850,0.04
Namibia,3030131,4.0,823290,0.04
Armenia,2973840,104.0,28470,0.04
Lithuania,2859110,46.0,62674,0.04
Jamaica,2839175,262.0,10830,0.03
Albania,2791765,102.0,27400,0.03
Gambia,2759988,273.0,10120,0.03
Gabon,2538952,10.0,257670,0.03
Botswana,2521139,4.0,566730,0.03
Lesotho,2337423,77.0,30360,0.03
Guinea-Bissau,2201352,78.0,28120,0.03
Slovenia,2118697,105.0,20140,0.03
Equatorial Guinea,1892516,67.0,28050,0.02
Latvia,1871871,30.0,62200,0.02
North Macedonia,1823009,72.0,25220,0.02
Bahrain,1607049,2115.0,760,0.02
Trinidad and Tobago,1507782,294.0,5130,0.02
Timor-Leste,1400638,94.0,14870,0.02
Estonia,1360546,32.0,42390,0.02
Cyprus,1358282,147.0,9240,0.02
Mauritius,1271169,626.0,2030,0.02
Eswatini,1242822,72.0,17200,0.02
Djibouti,1168722,50.0,23180,0.01
Fiji,928784,51.0,18270,0.01
Réunion,878591,351.0,2500,0.01
Comoros,866628,466.0,1861,0.01
Guyana,831087,4.0,196850,0.01
Solomon Islands,819198,29.0,27990,0.01
Bhutan,791524,21.0,38117,0.01
Macao,720262,24009.0,30,0.01
Luxembourg,673036,260.0,2590,0.01
Montenegro,638479,47.0,13450,0.01
Suriname,634431,4.0,156000,0.01
Western Sahara,590506,2.0,266000,0.01
Malta,539607,1686.0,320,0.01
Maldives,527799,1759.0,300,0.01
Micronesia,526923,753.0,700,0.01
Cabo Verde,524877,130.0,4030,0.01
Brunei ,462721,88.0,5270,0.01
Belize,417072,18.0,22810,0.01
Bahamas,401283,40.0,10010,0.0
Iceland,393396,4.0,100250,0.0
Guadeloupe,375106,222.0,1690,0.0
Martinique,343195,324.0,1060,0.0
Vanuatu,327777,27.0,12190,0.0
Mayotte,326505,871.0,375,0.0
French Guiana,308522,4.0,82200,0.0
New Caledonia,292639,16.0,18280,0.0
Barbados,282467,657.0,430,0.0
French Polynesia,281807,77.0,3660,0.0
Sao Tome & Principe,235536,245.0,960,0.0
Samoa,218019,77.0,2830,0.0
Curaçao,185482,418.0,444,0.0
Saint Lucia,179744,295.0,610,0.0
Guam,167777,311.0,540,0.0
Kiribati,134518,166.0,810,0.0
Seychelles,130418,284.0,460,0.0
Grenada,117207,345.0,340,0.0
Aruba,108066,600.0,180,0.0
Tonga,104175,145.0,720,0.0
St. Vincent & Grenadines,100616,258.0,390,0.0
Antigua and Barbuda,93772,213.0,440,0.0
U.S. Virgin Islands,84905,243.0,350,0.0
Isle of Man,84160,148.0,570,0.0
Andorra,81938,174.0,470,0.0
Cayman Islands,74457,310.0,240,0.0
Dominica,66205,88.0,750,0.0
Bermuda,64636,1293.0,50,0.0
Greenland,55840,0.0,410450,0.0
Faeroe Islands,55400,40.0,1396,0.0
Saint Kitts & Nevis,46843,180.0,260,0.0
American Samoa,46765,234.0,200,0.0
Turks and Caicos,46535,49.0,950,0.0
Northern Mariana Islands,44278,96.0,460,0.0
Sint Maarten,43350,1275.0,34,0.0
Liechtenstein,39870,249.0,160,0.0
British Virgin Islands,39471,263.0,150,0.0
Gibraltar,39329,3933.0,10,0.0
Monaco,38631,25927.0,1,0.0
Marshall Islands,37548,209.0,180,0.0
San Marino,33581,560.0,60,0.0
Caribbean Netherlands,30675,94.0,328,0.0
Saint Martin,26129,493.0,53,0.0
Palau,17695,38.0,460,0.0
Anguilla,14598,162.0,90,0.0
Cook Islands,13729,57.0,240,0.0
Nauru,11947,597.0,20,0.0
Wallis & Futuna,11277,81.0,140,0.0
Saint Barthelemy,11258,536.0,21,0.0
Tuvalu,9646,322.0,30,0.0
Saint Pierre & Miquelon,5628,24.0,230,0.0
Saint Helena,5237,13.0,390,0.0
Montserrat,4389,44.0,100,0.0
Falkland Islands,3470,0.0,12170,0.0
Tokelau,2506,251.0,10,0.0
Niue,1819,7.0,260,0.0
Holy See,496,1240.0,0,0.0
